cellline,drug,ic50,tissue
ACH-000303,44462760,4.040726,STAD
ACH-000254,11485656,3.174059,HNSC
ACH-000052,9810884,5.048109,SARC
ACH-000657,11647372,-0.907416,UNABLE TO CLASSIFY
ACH-000151,11640390,2.03626,DLBC
ACH-000636,24772860,-3.148419,ALL
ACH-000467,16725726,5.085501,COAD/READ
ACH-000929,25126798,4.009418,UNABLE TO CLASSIFY
ACH-000619,24889392,2.809664,HNSC
ACH-000885,9967941,5.259538,OV
ACH-000838,11754511,1.817214,MM
ACH-000985,5329102,2.337311,COAD/READ
ACH-001190,9952773,4.361545,SKCM
ACH-000663,11617559,6.154635,OV
ACH-000073,11178236,-5.080159,DLBC
ACH-000814,10200390,3.237471,SKCM
ACH-000960,10461815,2.06524,ALL
ACH-000355,11634725,4.117634,SCLC
ACH-000825,25102847,4.52763,NA
ACH-000303,25102847,-0.396544,STAD
ACH-000970,44143370,4.423744,COAD/READ
ACH-000484,10074640,3.409866,KIRC
ACH-000806,10390396,1.609117,NA
ACH-000768,44551660,2.762707,BRCA
ACH-000352,24772860,2.611328,BRCA
ACH-001306,71271629,2.509392,THCA
ACH-000392,10390396,2.881453,LUAD
ACH-000481,3463933,-0.045641,LUSC
ACH-000614,24756910,1.524015,SKCM
ACH-000273,3062316,0.455833,LGG
ACH-000843,10451420,4.395442,LUSC
ACH-000596,2733526,3.9607,NA
ACH-000822,44819241,1.963281,SKCM
ACH-000294,6852167,-1.526531,LAML
ACH-000822,637858,1.542718,SKCM
ACH-000104,11178236,-2.168139,ALL
ACH-000186,11493598,5.018192,UNABLE TO CLASSIFY
ACH-000689,44819241,3.622928,SARC
ACH-000751,5384616,-1.833239,LAML
ACH-000191,3385,2.991105,THCA
ACH-000336,9549184,3.763307,LAML
ACH-000971,25102847,2.019089,COAD/READ
ACH-000756,24894414,3.593938,LGG
ACH-000065,24889392,-1.20161,LAML
ACH-000116,6852167,2.215923,OV
ACH-000243,6914657,-1.667183,PAAD
ACH-001106,6445562,-0.71415,ALL
ACH-000804,9956222,1.988529,NB
ACH-000825,82146,4.08634,NA
ACH-000092,5280757,-3.232016,MESO
ACH-000159,11485656,3.395185,KIRC
ACH-000226,11485656,0.547023,NA
ACH-000754,44551660,1.738915,NA
ACH-000107,54676905,4.526665,PAAD
ACH-000116,3463933,2.569646,OV
ACH-000638,9868037,5.142719,LUAD
ACH-000381,5460769,4.704968,COAD/READ
ACH-000585,53340664,1.636968,LUSC
ACH-000585,11178236,-5.444426,LUSC
ACH-000960,49821040,2.847268,ALL
ACH-000067,11404337,-1.522222,LGG
ACH-000183,60750,-2.054331,MM
ACH-000432,2726824,3.234732,LCML
ACH-000408,11493598,5.884879,ESCA
ACH-000212,25124816,2.518562,BRCA
ACH-000227,25167777,-1.505896,NB
ACH-000985,56965967,3.196792,COAD/READ
ACH-000881,46224516,2.217914,SKCM
ACH-000168,44462760,2.507925,LAML
ACH-000639,10461815,2.714914,SCLC
ACH-000693,5394,4.032674,ESCA
ACH-000558,25022668,2.622496,GBM
ACH-000792,44551660,3.427642,KIRC
ACH-001106,11625818,3.253423,ALL
ACH-000197,25126798,4.182459,ALL
ACH-000221,6918638,-0.358719,LIHC
ACH-000603,44462760,5.325125,UNABLE TO CLASSIFY
ACH-000242,10074640,3.819708,BLCA
ACH-000318,6445533,-3.192787,ESCA
ACH-000273,11647372,1.511954,LGG
ACH-000607,56962337,1.378411,SARC
ACH-000567,11364421,-3.279022,DLBC
ACH-000704,11640390,2.804671,OV
ACH-000703,16722836,3.691572,SCLC
ACH-000439,5494449,2.748296,LAML
ACH-000957,44462760,4.570336,COAD/READ
ACH-000628,46224516,2.39147,LUAD
ACH-000067,24756910,1.583348,LGG
ACH-000073,3218,3.240331,DLBC
ACH-000551,24825971,1.555451,LCML
ACH-000443,9813758,5.029886,OV
ACH-000007,5384616,-0.117743,COAD/READ
ACH-000378,11338033,-0.897398,LUAD
ACH-000752,85668777,4.955054,SCLC
ACH-000786,16038120,0.365015,DLBC
ACH-001075,447912,5.246237,NA
ACH-000879,44462760,3.038062,UCEC
ACH-000810,11754511,3.88389,SKCM
ACH-001306,25257557,5.726297,THCA
ACH-000970,44819241,1.549219,COAD/READ
ACH-000218,5280757,-2.582128,LAML
ACH-000483,24772860,-0.972251,LIHC
ACH-000784,11634725,4.271869,ESCA
ACH-000998,704473,4.799612,COAD/READ
ACH-000609,44143370,4.52779,GBM
ACH-000099,76044,2.938373,NB
ACH-000968,25124816,0.561584,SKCM
ACH-000565,60750,-0.505337,COAD/READ
ACH-000105,10200390,0.613744,ALL
ACH-000149,44143370,2.747106,NB
ACH-000879,82146,3.967259,UCEC
ACH-000607,159324,3.407194,SARC
ACH-000610,10451420,3.696479,SCLC
ACH-000888,46191454,6.065196,LUAD
ACH-000188,3385,3.241683,HNSC
ACH-000335,11640390,3.380732,MESO
ACH-000580,447912,4.848472,SKCM
ACH-000334,11178236,-6.08596,DLBC
ACH-000376,704473,5.100179,GBM
ACH-000322,10302451,2.27122,SKCM
ACH-000371,10302451,2.753287,DLBC
ACH-000958,3463933,0.681728,COAD/READ
ACH-000985,44143370,3.229051,COAD/READ
ACH-000355,24772860,0.59267,SCLC
ACH-000579,16038120,1.927303,SKCM
ACH-000847,11625818,3.844627,STAD
ACH-000082,46191454,4.04901,SARC
ACH-000176,9903786,4.258649,LUSC
ACH-000496,3385,5.138226,LUAD
ACH-000814,16722836,5.312413,SKCM
ACH-000679,71271629,3.057741,ESCA
ACH-000554,11707110,-1.245263,BRCA
ACH-000639,16725726,4.227414,SCLC
ACH-000637,44462760,5.587973,ESCA
ACH-000504,24894414,4.830484,GBM
ACH-000074,44462760,0.565502,LCML
ACH-000740,9868037,4.767057,HNSC
ACH-000250,6450816,0.533637,KIRC
ACH-000457,24951314,0.921626,KIRC
ACH-000372,11485656,1.591853,ALL
ACH-000614,53394750,4.340757,SKCM
ACH-000002,78243717,3.753979,LAML
ACH-000155,82146,2.305966,PAAD
ACH-000420,10113978,2.60991,LIHC
ACH-000221,46943432,3.233954,LIHC
ACH-000327,11754511,4.396347,LUAD
ACH-000824,11485656,1.982175,ESCA
ACH-000633,44143370,2.876035,STAD
ACH-000767,176167,4.714976,SCLC
ACH-000271,24951314,-3.128418,DLBC
ACH-000857,25167777,-3.327717,BRCA
ACH-000116,11338033,2.295905,OV
ACH-000350,521106,7.050414,COAD/READ
ACH-000430,5746,-2.125211,UNABLE TO CLASSIFY
ACH-000605,16663089,4.491541,ESCA
ACH-000204,3463933,1.831162,MM
ACH-000644,24756910,-0.119615,SKCM
ACH-000343,44551660,2.113278,LUAD
ACH-000189,9910224,6.030029,KIRC
ACH-000766,56965967,3.402402,LUAD
ACH-000023,11707110,-4.219529,PAAD
ACH-000778,5746,-2.41006,HNSC
ACH-000439,56962337,2.273371,LAML
ACH-000699,42642645,0.850152,BRCA
ACH-000226,54685215,-0.769128,NA
ACH-000364,24894414,4.078627,SARC
ACH-000196,24889392,2.069775,BRCA
ACH-000504,11754511,3.172974,GBM
ACH-000273,9813758,2.616488,LGG
ACH-000038,25124816,3.620091,CLL
ACH-000118,176167,3.654186,PAAD
ACH-000960,9910224,4.696719,ALL
ACH-000855,5289247,4.815715,ESCA
ACH-000843,56965967,3.223966,LUSC
ACH-000936,10027278,1.479743,OV
ACH-000838,11485656,1.821781,MM
ACH-000355,176167,4.070197,SCLC
ACH-000985,644215,-3.290724,COAD/READ
ACH-000438,16722836,2.272737,NA
ACH-000052,5746,-0.26502,SARC
ACH-000691,16725726,1.670459,BRCA
ACH-000200,9810884,5.785548,LGG
ACH-000554,6445562,-1.764513,BRCA
ACH-000930,2726824,3.334195,BRCA
ACH-000002,25102847,3.086072,LAML
ACH-000906,11404337,-1.256348,OV
ACH-000910,44819241,3.056516,BRCA
ACH-000971,9956222,2.487941,COAD/READ
ACH-000567,42642645,-1.52348,DLBC
ACH-000269,5384616,-1.544391,GBM
ACH-000291,2726824,3.331976,OV
ACH-000346,24785538,3.42249,CLL
ACH-000843,11617559,5.773243,LUSC
ACH-000649,9903786,2.396788,KIRC
ACH-000665,16725726,4.803258,LUSC
ACH-000269,11647372,-0.01731,GBM
ACH-000605,9858940,5.41339,ESCA
ACH-000744,25126798,4.940049,LUAD
ACH-000361,4263900,1.540792,LIHC
ACH-000976,16720766,-1.15456,NA
ACH-000515,9874913,3.879132,SCLC
ACH-000518,9952773,3.408905,HNSC
ACH-000008,10302451,3.191247,SKCM
ACH-000776,25257557,1.048833,MB
ACH-000637,11647372,-0.003852,ESCA
ACH-000794,6753378,3.510931,HNSC
ACH-000099,9868037,4.622319,NB
ACH-000260,66577006,5.747194,NB
ACH-000228,82146,3.362483,HNSC
ACH-000776,16720766,-1.443583,MB
ACH-000750,9868037,3.794296,SKCM
ACH-000702,46224516,2.644424,NA
ACH-000161,25257557,3.048907,LUAD
ACH-000292,3385,4.003611,SCLC
ACH-000986,49806720,4.069207,COAD/READ
ACH-000024,11844351,1.530436,MM
ACH-000223,82146,3.944467,BRCA
ACH-000853,9810884,5.904933,NA
ACH-000776,76044,1.872191,MB
ACH-000905,9956222,1.824425,BLCA
ACH-001306,9813758,5.173295,THCA
ACH-000560,85668777,6.72097,STAD
ACH-000056,10113978,3.574416,DLBC
ACH-000362,9810884,0.466189,LAML
ACH-000841,11617559,5.075707,LUAD
ACH-000740,25124816,1.71942,HNSC
ACH-000665,5394,5.979216,LUSC
ACH-000849,5280757,-4.946027,BRCA
ACH-000009,25124816,3.125616,COAD/READ
ACH-000403,56962337,2.23101,COAD/READ
ACH-000573,46943432,4.856183,BRCA
ACH-000478,25102847,0.699463,LIHC
ACH-000493,66577006,3.777792,LIHC
ACH-000464,5384616,-0.283669,GBM
ACH-000311,44551660,3.040533,LUAD
ACH-001307,11617559,5.617692,THCA
ACH-000970,3385,3.545816,COAD/READ
ACH-000792,85668777,5.366447,KIRC
ACH-000672,9874913,4.901141,NA
ACH-000790,9952773,3.639177,SCLC
ACH-000112,644215,-3.517391,LAML
ACH-000091,11625818,4.79817,OV
ACH-000174,11338033,0.928487,THCA
ACH-000190,704473,4.619044,NA
ACH-000375,9884685,-0.807702,SARC
ACH-000147,53394750,3.816494,BRCA
ACH-000236,46885626,3.176917,COAD/READ
ACH-000270,4263900,1.59475,PAAD
ACH-000257,6445562,3.633444,SCLC
ACH-000821,16720766,2.070609,MM
ACH-000970,16722836,3.410243,COAD/READ
ACH-000106,9874913,4.585055,CLL
ACH-000399,10172943,-0.521185,SCLC
ACH-000703,448013,-2.1218,SCLC
ACH-000957,46885626,3.634557,COAD/READ
ACH-000567,3796,1.941451,DLBC
ACH-000740,3796,4.876061,HNSC
ACH-000104,54685215,-0.538765,ALL
ACH-000867,9863776,0.778911,UNABLE TO CLASSIFY
ACH-000465,446378,-1.093415,SKCM
ACH-000744,11634725,4.26169,LUAD
ACH-000019,78243717,4.568209,BRCA
ACH-000315,76044,0.46457,DLBC
ACH-000654,44143370,2.977054,DLBC
ACH-000694,9884685,4.263709,ESCA
ACH-000866,60750,-4.049468,SCLC
ACH-000607,25126798,3.547932,SARC
ACH-000483,25102847,3.047126,LIHC
ACH-000438,5329102,3.370895,NA
ACH-000136,6918638,1.462991,NB
ACH-000547,24889392,3.038896,BLCA
ACH-000832,53340664,3.706616,HNSC
ACH-000853,44632017,1.116044,NA
ACH-000087,521106,1.646248,SARC
ACH-000120,9874913,4.174057,NB
ACH-000504,31703,-2.086627,GBM
ACH-000950,46931012,5.67639,COAD/READ
ACH-000927,85668777,6.967845,BRCA
ACH-000595,44224160,3.095322,GBM
ACH-000610,11485656,2.222098,SCLC
ACH-000226,42640,2.23918,NA
ACH-000579,5311510,2.521096,SKCM
ACH-000198,9826308,-3.519056,LAML
ACH-000745,11373846,2.823043,MM
ACH-000951,637858,1.576303,LUAD
ACH-000380,6450816,-3.581983,MM
ACH-000672,11493598,5.177665,NA
ACH-000496,2733526,3.30778,LUAD
ACH-000514,11647372,1.63167,SCLC
ACH-000423,10113978,3.090181,SKCM
ACH-000465,71271629,3.153779,SKCM
ACH-000443,44551660,3.554995,OV
ACH-000783,2733526,4.713114,BRCA
ACH-000770,54676905,4.549988,LAML
ACH-000950,46843772,2.669481,COAD/READ
ACH-000430,11647372,3.319234,UNABLE TO CLASSIFY
ACH-000948,9967941,4.124252,STAD
ACH-000579,6753378,3.892473,SKCM
ACH-000362,54685215,-0.204717,LAML
ACH-000148,9884685,5.267919,BRCA
ACH-000660,446378,-5.916432,DLBC
ACH-000226,44551660,0.929445,NA
ACH-000117,24756910,0.057867,BRCA
ACH-000574,44224160,1.945303,OV
ACH-000657,31703,-2.662276,UNABLE TO CLASSIFY
ACH-000196,10302451,1.857488,BRCA
ACH-000619,6753378,3.792308,HNSC
ACH-000587,56962337,1.466406,LUAD
ACH-000698,25126798,4.637554,SCLC
ACH-000508,66577006,5.539147,SCLC
ACH-000042,10074640,3.874092,PAAD
ACH-000806,9810884,3.446594,NA
ACH-000087,10390396,-0.997747,SARC
ACH-000198,5280757,-4.52706,LAML
ACH-000886,25022668,1.155207,LUAD
ACH-000072,3385,1.322841,LCML
ACH-000998,11373846,4.801396,COAD/READ
ACH-000929,176167,2.742548,UNABLE TO CLASSIFY
ACH-000191,2726824,-0.009586,THCA
ACH-000463,25126798,4.019967,NA
ACH-000353,24951314,-0.179768,ESCA
ACH-000670,11485656,1.89244,SCLC
ACH-000879,11485656,2.827738,UCEC
ACH-000749,2733526,4.199639,SCLC
ACH-000525,5746,0.472248,SCLC
ACH-000046,9884685,0.432445,KIRC
ACH-000611,71271629,1.947726,DLBC
ACH-000611,24894414,2.149248,DLBC
ACH-000329,9910224,5.430301,GBM
ACH-000706,24951314,3.411707,LUAD
ACH-000443,9863776,4.899478,OV
ACH-000743,9813758,2.859148,SCLC
ACH-000781,25102847,4.008858,LUAD
ACH-000668,46931012,3.050279,BRCA
ACH-000621,46931012,5.463994,BRCA
ACH-000438,6852167,1.221245,NA
ACH-000628,24951314,0.666856,LUAD
ACH-000483,11373846,3.818983,LIHC
ACH-000643,44224160,2.796182,BRCA
ACH-000754,9874913,3.846738,NA
ACH-000766,11754511,2.897172,LUAD
ACH-000155,57339144,3.016934,PAAD
ACH-000969,6445562,1.669168,COAD/READ
ACH-000548,9910224,5.5759,HNSC
ACH-000614,11617559,5.763813,SKCM
ACH-000913,54685215,-1.297978,UCEC
ACH-000336,44462760,2.07046,LAML
ACH-000881,2375,2.883359,SKCM
ACH-000684,521106,3.405925,KIRC
ACH-000452,16747388,3.085817,ESCA
ACH-000035,637858,1.568904,LUAD
ACH-000980,54676905,4.826125,NA
ACH-000706,44819241,5.341312,LUAD
ACH-000595,54685215,0.260922,GBM
ACH-000038,5460769,0.936889,CLL
ACH-000654,16760646,-0.015671,DLBC
ACH-000677,9863776,0.858515,LUAD
ACH-000322,44819241,2.445932,SKCM
ACH-000157,5280757,-2.790585,DLBC
ACH-000329,10074640,2.49755,GBM
ACH-000147,25102847,3.19163,BRCA
ACH-000781,9868037,5.452978,LUAD
ACH-000643,46191454,3.780308,BRCA
ACH-000662,9903786,2.499889,NA
ACH-000609,44224160,1.561129,GBM
ACH-000207,176167,3.07818,HNSC
ACH-000006,9952773,3.274092,LAML
ACH-000521,5460769,1.909871,LUAD
ACH-000654,9813758,2.590446,DLBC
ACH-000346,159324,4.405903,CLL
ACH-000657,6918638,-0.811993,UNABLE TO CLASSIFY
ACH-000827,10109823,1.122662,SKCM
ACH-000219,44462760,-4.009088,SKCM
ACH-000638,10074640,5.913765,LUAD
ACH-000903,46191454,5.160008,THCA
ACH-000137,11626560,3.022454,GBM
ACH-000254,24756910,-1.266737,HNSC
ACH-000004,3463933,1.699253,LAML
ACH-000002,56962337,1.523528,LAML
ACH-000792,25124816,2.56429,KIRC
ACH-000355,11178236,-5.388563,SCLC
ACH-000024,11617559,4.968532,MM
ACH-000668,66577006,5.515769,BRCA
ACH-000655,11404337,-2.52351,GBM
ACH-000092,704473,5.160979,MESO
ACH-000411,25126798,3.550345,KIRC
ACH-000019,5746,-3.793272,BRCA
ACH-000059,5329102,2.143069,ALL
ACH-000059,159324,0.127323,ALL
ACH-000273,10027278,2.107554,LGG
ACH-000384,46943432,5.842831,BLCA
ACH-000065,49806720,2.439561,LAML
ACH-000401,5280757,-2.30843,SKCM
ACH-000136,44632017,3.621416,NB
ACH-000371,9868037,3.608946,DLBC
ACH-000720,2375,2.00485,BLCA
ACH-000201,44224160,-0.240486,SARC
ACH-000639,10096043,-3.963829,SCLC
ACH-000318,11178236,0.825802,ESCA
ACH-000798,56962337,2.715863,COAD/READ
ACH-000885,448013,-0.97522,OV
ACH-000212,16722836,1.688232,BRCA
ACH-000934,10451420,5.116836,BRCA
ACH-000697,10461815,1.923357,DLBC
ACH-000054,5280757,-3.841968,SARC
ACH-000703,3463933,6.15664,SCLC
ACH-000669,53340664,3.77293,LUSC
ACH-000915,5394,5.66665,SKCM
ACH-000525,6753378,3.156871,SCLC
ACH-000881,2733526,4.099987,SKCM
ACH-000555,20635522,5.860662,KIRC
ACH-000830,44224160,1.466878,SCLC
ACH-000386,11617559,5.228815,LAML
ACH-000449,24772860,2.938979,SARC
ACH-000090,25124816,1.388555,PRAD
ACH-000411,9868037,4.943873,KIRC
ACH-000937,9874913,4.484559,ALL
ACH-000960,82146,3.903779,ALL
ACH-000350,9858940,5.628161,COAD/READ
ACH-000467,10027278,1.465201,COAD/READ
ACH-000754,9884685,1.366404,NA
ACH-000704,9910224,5.707866,OV
ACH-000973,4263900,0.278535,BLCA
ACH-000579,2733526,4.076714,SKCM
ACH-000336,5280757,-3.301594,LAML
ACH-000103,46885626,2.149371,OV
ACH-000669,82146,4.697699,LUSC
ACH-000893,10074640,5.408284,LUAD
ACH-000789,46224516,2.134378,NA
ACH-000694,10172943,-0.76872,ESCA
ACH-000958,31703,-2.65835,COAD/READ
ACH-000001,24756910,4.086048,OV
ACH-000719,9967941,1.556273,OV
ACH-000772,9884685,4.509451,SARC
ACH-000667,44462760,4.238958,LUAD
ACH-000183,9884685,-1.779392,MM
ACH-000326,46224516,1.848734,LCML
ACH-000475,448013,-3.781644,LIHC
ACH-000416,71271629,2.346782,LUAD
ACH-000874,9549184,2.316892,ALL
ACH-000359,11617559,5.507304,SARC
ACH-000694,4263900,3.013242,ESCA
ACH-000810,9910224,5.546095,SKCM
ACH-000114,447912,5.20103,PAAD
ACH-000138,5746,-2.130557,PAAD
ACH-000585,446378,-3.118151,LUSC
ACH-000886,637858,1.582238,LUAD
ACH-000755,16725726,2.065299,BRCA
ACH-000830,6914657,-6.842401,SCLC
ACH-000906,44462760,-2.988084,OV
ACH-000009,71271629,3.324932,COAD/READ
ACH-000118,11647372,0.559134,PAAD
ACH-000703,5746,0.802534,SCLC
ACH-000346,78243717,4.353516,CLL
ACH-000881,6450816,-3.385203,SKCM
ACH-000004,49836027,-3.906243,LAML
ACH-000379,56965967,3.045748,LUAD
ACH-000983,6450816,-4.351631,LCML
ACH-000364,25124816,1.815895,SARC
ACH-000501,8249,8.124354,COAD/READ
ACH-000473,6918638,-0.42185,BLCA
ACH-000778,44143370,3.00963,HNSC
ACH-000924,8249,8.035078,UNABLE TO CLASSIFY
ACH-000149,9863776,-0.449312,NB
ACH-000786,24756910,-2.062489,DLBC
ACH-000467,10109823,1.698679,COAD/READ
ACH-000587,447912,4.364643,LUAD
ACH-000373,5291,3.373639,LAML
ACH-000827,9952773,3.825118,SKCM
ACH-000429,44632017,1.712458,KIRC
ACH-000672,6918638,1.800768,NA
ACH-000099,9884685,1.099455,NB
ACH-000061,25167777,-5.628395,ALL
ACH-000649,11178236,-5.647633,KIRC
ACH-000971,5746,0.056823,COAD/READ
ACH-000738,6852167,1.037229,GBM
