cellline,drug,ic50,tissue
ACH-000401,6914657,-6.995725,SKCM
ACH-000644,6914657,0.715669,SKCM
ACH-000161,6914657,-0.248382,LUAD
ACH-000662,6914657,-4.955558,NA
ACH-000257,6914657,-5.271287,SCLC
ACH-000508,6914657,-4.670713,SCLC
ACH-000743,6914657,2.428553,SCLC
ACH-000998,6914657,-1.252905,COAD/READ
ACH-000055,6914657,-6.950214,MB
ACH-000243,6914657,-1.667183,PAAD
ACH-000211,6914657,-2.403268,MB
ACH-000786,6914657,-4.770613,DLBC
ACH-000334,6914657,-5.888302,DLBC
ACH-000863,6914657,1.714919,GBM
ACH-000207,6914657,-1.644701,HNSC
ACH-000244,6914657,0.974711,GBM
ACH-000530,6914657,-5.555107,SCLC
ACH-000749,6914657,-5.626961,SCLC
ACH-000698,6914657,2.678126,SCLC
ACH-000703,6914657,-3.350153,SCLC
ACH-000981,6914657,-7.02259,ALL
ACH-000979,6914657,-3.61747,PRAD
ACH-000258,6914657,-6.766348,BRCA
ACH-000563,6914657,-1.467246,LUSC
ACH-000560,6914657,-7.371584,STAD
ACH-000305,6914657,-6.031103,ESCA
ACH-000330,6914657,0.117923,BRCA
ACH-000117,6914657,0.346031,BRCA
ACH-000308,6914657,-0.470834,OV
ACH-000936,6914657,-2.428038,OV
ACH-000038,6914657,-3.457544,CLL
ACH-000821,6914657,-4.216603,MM
ACH-000706,6914657,4.388748,LUAD
ACH-000295,6914657,-6.830147,LCML
ACH-000978,6914657,-2.736423,UCEC
ACH-000198,6914657,-7.063411,LAML
ACH-000585,6914657,2.13713,LUSC
ACH-000913,6914657,-4.744208,UCEC
ACH-000903,6914657,-1.751164,THCA
ACH-000633,6914657,0.003971,STAD
ACH-000574,6914657,0.998514,OV
ACH-000082,6914657,-1.325409,SARC
ACH-000572,6914657,-3.774337,SKCM
ACH-000096,6914657,2.397114,SARC
ACH-000375,6914657,-4.173972,SARC
ACH-000162,6914657,-6.354333,DLBC
ACH-000098,6914657,-0.266879,LGG
ACH-000738,6914657,-6.953254,GBM
ACH-000835,6914657,-3.915029,SARC
ACH-000081,6914657,-6.7017,LAML
ACH-000756,6914657,-4.938082,LGG
ACH-000102,6914657,-1.979958,GBM
ACH-000073,6914657,-6.140771,DLBC
ACH-000389,6914657,-5.754172,LGG
ACH-000843,6914657,-4.331108,LUSC
ACH-000374,6914657,-3.816375,BRCA
ACH-000111,6914657,-0.893722,BRCA
ACH-000699,6914657,-0.080113,BRCA
ACH-000277,6914657,3.375334,BRCA
ACH-000352,6914657,1.825015,BRCA
ACH-000878,6914657,3.087555,LUSC
ACH-000349,6914657,-3.125835,BRCA
ACH-000930,6914657,-2.416378,BRCA
ACH-000624,6914657,-3.864239,BRCA
ACH-000223,6914657,1.486353,BRCA
ACH-000859,6914657,1.453249,BRCA
ACH-000725,6914657,1.202029,BRCA
ACH-000691,6914657,-4.126222,BRCA
ACH-000755,6914657,-2.271493,BRCA
ACH-000667,6914657,-3.555253,LUAD
ACH-000467,6914657,2.619566,COAD/READ
ACH-000668,6914657,-1.287092,BRCA
ACH-000562,6914657,-1.624323,LUAD
ACH-000012,6914657,0.651115,LUAD
ACH-000971,6914657,-6.828448,COAD/READ
ACH-000997,6914657,-1.28109,COAD/READ
ACH-000267,6914657,-6.14011,NA
ACH-000190,6914657,-5.951271,NA
ACH-000643,6914657,1.278638,BRCA
ACH-000004,6914657,-5.829147,LAML
ACH-000847,6914657,-7.082096,STAD
ACH-000061,6914657,-7.098366,ALL
ACH-000002,6914657,-4.80055,LAML
ACH-000861,6914657,-4.164407,LUAD
ACH-000825,6914657,-0.706134,NA
ACH-000613,6914657,-6.230455,SARC
ACH-000270,6914657,2.835076,PAAD
ACH-000094,6914657,-0.565314,PAAD
ACH-000148,6914657,2.555116,BRCA
ACH-000067,6914657,2.566915,LGG
ACH-000616,6914657,-0.453422,STAD
ACH-000178,6914657,0.444899,PAAD
ACH-000814,6914657,-0.126645,SKCM
ACH-000135,6914657,-0.539482,SKCM
ACH-000472,6914657,2.211468,HNSC
ACH-000778,6914657,-4.670636,HNSC
ACH-000546,6914657,-4.658542,HNSC
ACH-000914,6914657,-6.610562,DLBC
ACH-000054,6914657,-6.287291,SARC
ACH-000986,6914657,-0.964379,COAD/READ
ACH-000547,6914657,-0.636074,BLCA
ACH-000322,6914657,-3.348925,SKCM
ACH-000976,6914657,-1.932177,NA
ACH-000475,6914657,1.796726,LIHC
ACH-000480,6914657,2.518324,LIHC
ACH-000118,6914657,-0.316214,PAAD
ACH-000672,6914657,0.89823,NA
ACH-000650,6914657,-2.817268,SKCM
ACH-000966,6914657,-1.502938,OV
ACH-000915,6914657,-2.951566,SKCM
ACH-000396,6914657,1.092786,BLCA
ACH-000357,6914657,-7.31018,DLBC
ACH-000476,6914657,-0.965026,LIHC
ACH-000132,6914657,-3.279006,OV
ACH-000151,6914657,-6.957636,DLBC
ACH-000995,6914657,-6.805142,ALL
ACH-000326,6914657,-6.694311,LCML
ACH-000106,6914657,-6.922924,CLL
ACH-000346,6914657,-5.655929,CLL
ACH-000551,6914657,-6.854925,LCML
ACH-000231,6914657,-1.145163,LGG
ACH-000315,6914657,-5.476026,DLBC
ACH-000793,6914657,-6.194103,STAD
ACH-000983,6914657,-6.693997,LCML
ACH-000386,6914657,-6.413774,LAML
ACH-000969,6914657,-0.729389,COAD/READ
ACH-000815,6914657,-5.723728,NA
ACH-000684,6914657,0.186008,KIRC
ACH-000250,6914657,0.647879,KIRC
ACH-000714,6914657,-6.094823,MM
ACH-000858,6914657,-1.766063,LUSC
ACH-001106,6914657,-7.097595,ALL
ACH-000227,6914657,-7.286556,NB
ACH-000486,6914657,-6.777999,BLCA
ACH-000074,6914657,-5.135645,LCML
ACH-000607,6914657,-5.269931,SARC
ACH-000693,6914657,-5.328894,ESCA
ACH-000824,6914657,-5.712717,ESCA
ACH-000637,6914657,-1.312273,ESCA
ACH-000784,6914657,-3.247062,ESCA
ACH-000702,6914657,-4.773387,NA
ACH-000183,6914657,-4.370343,MM
ACH-000754,6914657,-5.297058,NA
ACH-000806,6914657,-5.978379,NA
ACH-000301,6914657,1.567039,LCML
ACH-000627,6914657,-1.02786,NA
ACH-000596,6914657,-0.321271,NA
ACH-000595,6914657,-4.090562,GBM
ACH-000104,6914657,-6.84618,ALL
ACH-000176,6914657,1.113537,LUSC
ACH-000950,6914657,-0.740997,COAD/READ
ACH-000750,6914657,-4.297793,SKCM
ACH-000204,6914657,-5.090447,MM
ACH-000501,6914657,-1.029261,COAD/READ
ACH-000957,6914657,-2.441675,COAD/READ
ACH-000985,6914657,-4.329517,COAD/READ
ACH-000007,6914657,-0.331706,COAD/READ
ACH-000438,6914657,0.006157,NA
ACH-000787,6914657,-2.124383,LUAD
ACH-000019,6914657,-2.526598,BRCA
ACH-000621,6914657,-1.319537,BRCA
ACH-000759,6914657,2.680157,BRCA
ACH-000768,6914657,-2.511015,BRCA
ACH-000934,6914657,1.619782,BRCA
ACH-000876,6914657,1.995646,BRCA
ACH-000573,6914657,-0.00211,BRCA
ACH-000910,6914657,-1.845694,BRCA
ACH-000935,6914657,-5.182921,COAD/READ
ACH-000439,6914657,1.203091,LAML
ACH-000072,6914657,-5.647972,LCML
ACH-000450,6914657,-2.974657,SKCM
ACH-000881,6914657,-4.278425,SKCM
ACH-000449,6914657,2.088935,SARC
ACH-000987,6914657,-3.117788,SKCM
ACH-000879,6914657,-4.991741,UCEC
ACH-000359,6914657,-6.046345,SARC
ACH-000020,6914657,-2.343097,ALL
ACH-000351,6914657,-2.676942,STAD
ACH-000356,6914657,-3.960114,STAD
ACH-000678,6914657,1.057414,STAD
ACH-000058,6914657,1.264184,THCA
ACH-000362,6914657,-6.45282,LAML
ACH-000369,6914657,0.687948,LAML
ACH-000745,6914657,-6.317752,MM
ACH-000795,6914657,-6.351663,ALL
ACH-000918,6914657,-6.815535,ALL
ACH-000006,6914657,-6.41304,LAML
ACH-000944,6914657,-6.818164,DLBC
ACH-000804,6914657,-5.564407,NB
ACH-000294,6914657,-6.899723,LAML
ACH-000866,6914657,-5.010924,SCLC
ACH-000514,6914657,-5.389353,SCLC
ACH-000780,6914657,-4.125336,SCLC
ACH-000980,6914657,-6.776176,NA
ACH-000129,6914657,-3.396266,SCLC
ACH-000327,6914657,0.132395,LUAD
ACH-000852,6914657,-2.889144,LUAD
ACH-000830,6914657,-6.842401,SCLC
ACH-000589,6914657,-1.4755,LUAD
ACH-000506,6914657,-5.374886,SCLC
ACH-000869,6914657,-0.037336,LUAD
ACH-000744,6914657,2.117207,LUAD
ACH-000766,6914657,1.47515,LUAD
ACH-000035,6914657,-0.34122,LUAD
ACH-000893,6914657,-0.601541,LUAD
ACH-000379,6914657,2.248025,LUAD
ACH-000496,6914657,-4.784185,LUAD
ACH-000888,6914657,1.271471,LUAD
ACH-000559,6914657,-1.110248,SCLC
ACH-000733,6914657,-0.002131,LUAD
ACH-000586,6914657,-6.9521,SCLC
ACH-000434,6914657,-3.384123,NA
ACH-000414,6914657,2.012842,LUAD
ACH-000752,6914657,0.942537,SCLC
ACH-000587,6914657,2.002731,LUAD
ACH-000886,6914657,-1.245484,LUAD
ACH-000781,6914657,-0.79606,LUAD
ACH-000298,6914657,1.432697,SCLC
ACH-000521,6914657,-4.17152,LUAD
ACH-000727,6914657,4.169083,SCLC
ACH-000394,6914657,-4.558049,SCLC
ACH-000451,6914657,0.730947,LUAD
ACH-000841,6914657,1.563017,LUAD
ACH-000290,6914657,-6.57953,SCLC
ACH-000639,6914657,-6.454309,SCLC
ACH-000929,6914657,2.562826,UNABLE TO CLASSIFY
ACH-000311,6914657,-1.303219,LUAD
ACH-000481,6914657,0.510377,LUSC
ACH-000924,6914657,1.248902,UNABLE TO CLASSIFY
ACH-000610,6914657,-5.001641,SCLC
ACH-000447,6914657,0.933797,LUAD
ACH-000718,6914657,3.641262,LUAD
ACH-000900,6914657,-4.656854,LUAD
ACH-000951,6914657,1.747907,LUAD
ACH-000875,6914657,0.493541,LUAD
ACH-000121,6914657,-3.379462,LUAD
ACH-000186,6914657,2.278562,UNABLE TO CLASSIFY
ACH-000092,6914657,0.630268,MESO
ACH-000648,6914657,0.177405,MESO
ACH-001075,6914657,-4.408361,NA
ACH-000860,6914657,0.318762,LUAD
ACH-000638,6914657,0.058035,LUAD
ACH-000800,6914657,-7.022828,SCLC
ACH-000463,6914657,-3.516508,NA
ACH-000360,6914657,1.84579,COAD/READ
ACH-000343,6914657,-0.953127,LUAD
ACH-000816,6914657,-7.075558,SCLC
ACH-000767,6914657,-4.525227,SCLC
ACH-000628,6914657,-2.436618,LUAD
ACH-000945,6914657,2.460452,LUAD
ACH-000853,6914657,-1.906841,NA
ACH-000358,6914657,-5.454532,SCLC
ACH-000491,6914657,-6.47081,COAD/READ
ACH-000775,6914657,2.57797,NA
ACH-000403,6914657,-2.172415,COAD/READ
ACH-000789,6914657,-6.572973,NA
ACH-000416,6914657,-5.551166,LUAD
ACH-000292,6914657,-0.417636,SCLC
ACH-000050,6914657,-6.619064,MM
ACH-000427,6914657,-1.0301,STAD
ACH-000001,6914657,-3.467278,OV
ACH-000200,6914657,-1.997984,LGG
ACH-000287,6914657,-6.611029,DLBC
ACH-000911,6914657,-2.40289,STAD
ACH-000674,6914657,-1.553222,STAD
ACH-000116,6914657,0.000941,OV
ACH-000704,6914657,-1.595167,OV
ACH-000113,6914657,-6.550056,LAML
ACH-000336,6914657,-7.036341,LAML
ACH-000065,6914657,-6.165041,LAML
ACH-000124,6914657,-6.665718,DLBC
ACH-000751,6914657,-6.163039,LAML
ACH-000679,6914657,-3.339149,ESCA
ACH-000544,6914657,-2.508102,ESCA
ACH-000383,6914657,-0.073264,ESCA
ACH-000776,6914657,-5.952678,MB
ACH-000024,6914657,-2.895138,MM
ACH-000159,6914657,-1.312602,KIRC
ACH-000091,6914657,-1.396303,OV
ACH-000688,6914657,-2.031028,OV
ACH-000291,6914657,-1.531049,OV
ACH-000617,6914657,-1.897102,OV
ACH-000696,6914657,-6.074777,OV
ACH-000527,6914657,-0.95083,OV
ACH-000947,6914657,-5.499843,OV
ACH-000443,6914657,2.779025,OV
ACH-000663,6914657,-1.367548,OV
ACH-000372,6914657,-6.572232,ALL
ACH-000770,6914657,-4.691823,LAML
ACH-000042,6914657,-2.552945,PAAD
ACH-000139,6914657,-1.141427,PAAD
ACH-000235,6914657,0.536616,PAAD
ACH-000417,6914657,0.711961,PAAD
ACH-000060,6914657,-0.054408,PAAD
ACH-000599,6914657,-2.386425,PAAD
ACH-000023,6914657,-5.738422,PAAD
ACH-000090,6914657,-3.754445,PRAD
ACH-000619,6914657,-3.601991,HNSC
ACH-000937,6914657,-6.617479,ALL
ACH-000218,6914657,-4.825199,LAML
ACH-000320,6914657,-4.894988,PAAD
ACH-000347,6914657,-2.998115,PAAD
ACH-000654,6914657,-5.695245,DLBC
ACH-000922,6914657,-6.99454,ALL
ACH-000565,6914657,0.504131,COAD/READ
ACH-000169,6914657,-4.83156,SARC
ACH-000960,6914657,-6.916872,ALL
ACH-000144,6914657,2.394,STAD
ACH-000482,6914657,1.949486,LUAD
ACH-000062,6914657,-3.978462,LUAD
ACH-000689,6914657,0.338107,SARC
ACH-000505,6914657,2.641103,SARC
ACH-000943,6914657,2.222507,COAD/READ
ACH-000371,6914657,0.460118,DLBC
ACH-000965,6914657,-6.18917,UCEC
ACH-000719,6914657,-1.547829,OV
ACH-000817,6914657,-4.657136,MM
ACH-000636,6914657,1.585408,ALL
ACH-000874,6914657,-7.059483,ALL
ACH-000473,6914657,-3.776897,BLCA
ACH-000242,6914657,2.767202,BLCA
ACH-000614,6914657,-1.0269,SKCM
ACH-000410,6914657,-0.791125,SARC
ACH-000670,6914657,-4.364887,SCLC
ACH-000254,6914657,-1.36921,HNSC
ACH-000188,6914657,0.809599,HNSC
ACH-000238,6914657,-0.002618,HNSC
ACH-000181,6914657,1.961703,HNSC
ACH-000609,6914657,-6.130942,GBM
ACH-000655,6914657,-5.381011,GBM
ACH-000376,6914657,-5.069539,GBM
ACH-000273,6914657,-6.194141,LGG
ACH-000441,6914657,-2.718533,SKCM
ACH-000790,6914657,0.566723,SCLC
ACH-000099,6914657,2.313549,NB
ACH-000748,6914657,-5.510275,SARC
ACH-000400,6914657,0.268923,COAD/READ
ACH-000087,6914657,-7.401844,SARC
ACH-000361,6914657,-5.919036,LIHC
ACH-000309,6914657,1.32224,LUAD
ACH-000373,6914657,-6.445861,LAML
ACH-000465,6914657,-4.644419,SKCM
ACH-001190,6914657,-3.394577,SKCM
ACH-000822,6914657,0.22001,SKCM
ACH-000615,6914657,-2.037178,SKCM
ACH-000423,6914657,2.642755,SKCM
ACH-000810,6914657,-1.762763,SKCM
ACH-000640,6914657,2.591997,SKCM
ACH-000730,6914657,-2.733448,SKCM
ACH-000665,6914657,-0.192392,LUSC
ACH-000363,6914657,-6.184365,MM
ACH-000260,6914657,-2.513699,NB
ACH-000366,6914657,2.372389,NB
ACH-000341,6914657,-1.174956,NB
ACH-000149,6914657,-6.567645,NB
ACH-000811,6914657,-2.2336,OV
ACH-000939,6914657,-5.632973,SARC
ACH-000504,6914657,-0.203149,GBM
ACH-000974,6914657,-6.237875,UCEC
ACH-000932,6914657,-4.831076,STAD
ACH-000999,6914657,-3.196748,COAD/READ
ACH-000483,6914657,-0.270786,LIHC
ACH-000478,6914657,1.553029,LIHC
ACH-000221,6914657,-6.002484,LIHC
ACH-000955,6914657,-6.165529,COAD/READ
ACH-000493,6914657,-1.440154,LIHC
ACH-000420,6914657,-2.308649,LIHC
ACH-000303,6914657,-2.500491,STAD
ACH-000532,6914657,-3.62683,COAD/READ
ACH-000991,6914657,-0.911749,COAD/READ
ACH-000722,6914657,-1.506002,COAD/READ
ACH-000970,6914657,-4.787189,COAD/READ
ACH-000567,6914657,-5.752513,DLBC
ACH-000114,6914657,0.033516,PAAD
ACH-000271,6914657,-3.762915,DLBC
ACH-000365,6914657,0.380492,DLBC
ACH-000660,6914657,-6.339801,DLBC
ACH-000611,6914657,-3.230332,DLBC
ACH-000652,6914657,-2.446801,PAAD
ACH-000226,6914657,-4.473474,NA
ACH-000953,6914657,-6.057736,ALL
ACH-000437,6914657,-1.284574,GBM
ACH-000489,6914657,1.161188,COAD/READ
ACH-000890,6914657,2.105367,SCLC
ACH-000236,6914657,1.068416,COAD/READ
ACH-000470,6914657,0.391479,COAD/READ
ACH-000677,6914657,0.65759,LUAD
ACH-000566,6914657,-2.933541,BLCA
ACH-000155,6914657,0.518533,PAAD
ACH-000958,6914657,-2.23095,COAD/READ
ACH-000651,6914657,-4.784019,COAD/READ
ACH-000384,6914657,-1.835819,BLCA
ACH-000421,6914657,0.532997,COAD/READ
ACH-000669,6914657,-1.591999,LUSC
ACH-000680,6914657,-1.970843,COAD/READ
ACH-000018,6914657,2.139532,BLCA
ACH-000147,6914657,-2.014804,BRCA
ACH-000381,6914657,0.121468,COAD/READ
ACH-000720,6914657,-1.698161,BLCA
ACH-000647,6914657,2.796949,ESCA
ACH-000318,6914657,-4.835863,ESCA
ACH-000488,6914657,2.296426,ESCA
ACH-000353,6914657,-6.501635,ESCA
ACH-000917,6914657,-3.427857,ESCA
ACH-000408,6914657,-1.313507,ESCA
ACH-000605,6914657,0.021296,ESCA
ACH-000452,6914657,-7.001229,ESCA
ACH-000694,6914657,-5.066197,ESCA
ACH-000949,6914657,-4.388365,STAD
ACH-000146,6914657,-6.814831,LAML
ACH-000048,6914657,-4.579959,OV
ACH-000885,6914657,-4.790404,OV
ACH-000561,6914657,-4.276995,ESCA
ACH-000716,6914657,2.742129,THCA
ACH-000430,6914657,-3.611982,UNABLE TO CLASSIFY
ACH-000040,6914657,-2.344811,GBM
ACH-000232,6914657,-5.514318,GBM
ACH-000626,6914657,-0.17457,MM
ACH-000364,6914657,-4.968836,SARC
ACH-000075,6914657,-3.821696,GBM
ACH-000579,6914657,-0.00602,SKCM
ACH-000425,6914657,-0.04287,SKCM
ACH-000522,6914657,-5.415531,BLCA
ACH-000115,6914657,1.723744,PRAD
ACH-000545,6914657,-6.760446,BLCA
ACH-000171,6914657,-2.092445,KIRC
ACH-000304,6914657,2.839379,SKCM
ACH-000827,6914657,-2.666404,SKCM
ACH-000534,6914657,1.900496,DLBC
ACH-000332,6914657,-1.419874,PAAD
ACH-000469,6914657,1.882747,GBM
ACH-000570,6914657,-3.135694,GBM
ACH-000828,6914657,4.033002,BRCA
ACH-000070,5329102,-0.438078,ALL
ACH-000137,5329102,1.936426,GBM
ACH-000008,5329102,1.181396,SKCM
ACH-000740,5329102,4.15524,HNSC
ACH-000697,5329102,0.514334,DLBC
ACH-000555,5329102,5.853587,KIRC
ACH-000157,5329102,0.278448,DLBC
ACH-000429,5329102,2.503407,KIRC
ACH-000105,5329102,0.108436,ALL
ACH-000269,5329102,4.482175,GBM
ACH-000838,5329102,2.013781,MM
ACH-000245,5329102,0.711956,DLBC
ACH-000927,5329102,4.768427,BRCA
ACH-000432,5329102,0.857527,LCML
ACH-000009,5329102,4.727643,COAD/READ
ACH-000440,5329102,2.246288,DLBC
ACH-000264,5329102,4.633036,LUAD
ACH-000464,5329102,4.888709,GBM
ACH-000136,5329102,4.529028,NB
ACH-000249,5329102,5.054861,COAD/READ
ACH-000641,5329102,0.806058,LAML
ACH-000803,5329102,3.139402,SCLC
ACH-000864,5329102,3.972882,UCEC
ACH-000401,5329102,4.545034,SKCM
ACH-000644,5329102,5.704146,SKCM
ACH-000257,5329102,2.261205,SCLC
ACH-000508,5329102,2.835832,SCLC
ACH-000743,5329102,4.573252,SCLC
ACH-000998,5329102,5.005963,COAD/READ
ACH-000055,5329102,2.177508,MB
ACH-000786,5329102,1.510042,DLBC
ACH-000334,5329102,4.539825,DLBC
ACH-000530,5329102,4.222558,SCLC
ACH-000703,5329102,4.610786,SCLC
ACH-000981,5329102,1.132558,ALL
ACH-000056,5329102,0.584938,DLBC
ACH-000258,5329102,1.118564,BRCA
ACH-000305,5329102,4.797169,ESCA
ACH-000038,5329102,3.621424,CLL
ACH-000821,5329102,2.705878,MM
ACH-000706,5329102,6.96024,LUAD
ACH-000295,5329102,2.236533,LCML
ACH-000198,5329102,-4.963348,LAML
ACH-000906,5329102,2.148937,OV
ACH-000162,5329102,-0.523849,DLBC
ACH-000738,5329102,0.193387,GBM
ACH-000047,5329102,4.769073,STAD
ACH-000081,5329102,-2.911426,LAML
ACH-000756,5329102,1.709795,LGG
ACH-000073,5329102,3.419332,DLBC
ACH-000111,5329102,2.697389,BRCA
ACH-000196,5329102,2.286941,BRCA
ACH-000691,5329102,3.826353,BRCA
ACH-000755,5329102,5.164448,BRCA
ACH-000515,5329102,3.687976,SCLC
ACH-000267,5329102,1.511291,NA
ACH-000190,5329102,1.814897,NA
ACH-000004,5329102,1.225245,LAML
ACH-000061,5329102,1.909928,ALL
ACH-000002,5329102,1.456419,LAML
ACH-000861,5329102,1.486263,LUAD
ACH-000914,5329102,3.499993,DLBC
ACH-000322,5329102,1.753501,SKCM
ACH-000672,5329102,2.644899,NA
ACH-000151,5329102,1.873245,DLBC
ACH-000106,5329102,3.296711,CLL
ACH-000346,5329102,4.754463,CLL
ACH-000551,5329102,2.1502,LCML
ACH-000231,5329102,2.756931,LGG
ACH-000315,5329102,1.581892,DLBC
ACH-000983,5329102,2.111229,LCML
ACH-000386,5329102,1.821015,LAML
ACH-000969,5329102,-0.847355,COAD/READ
ACH-000815,5329102,2.621228,NA
ACH-000380,5329102,1.381595,MM
ACH-001106,5329102,1.364665,ALL
ACH-000345,5329102,2.719834,NB
ACH-000227,5329102,2.562372,NB
ACH-000074,5329102,1.399155,LCML
ACH-000702,5329102,1.278632,NA
ACH-000183,5329102,1.528792,MM
ACH-000754,5329102,2.341875,NA
ACH-000806,5329102,1.66664,NA
ACH-000301,5329102,1.027885,LCML
ACH-000104,5329102,2.216847,ALL
ACH-000750,5329102,2.570323,SKCM
ACH-000204,5329102,2.36087,MM
ACH-000501,5329102,2.384754,COAD/READ
ACH-000985,5329102,2.337311,COAD/READ
ACH-000007,5329102,3.378877,COAD/READ
ACH-000438,5329102,3.370895,NA
ACH-000787,5329102,1.13262,LUAD
ACH-000935,5329102,4.108322,COAD/READ
ACH-000439,5329102,2.414959,LAML
ACH-000072,5329102,0.702315,LCML
ACH-000078,5329102,2.704871,NB
ACH-000362,5329102,-4.690571,LAML
ACH-000745,5329102,1.009686,MM
ACH-000006,5329102,-2.927033,LAML
ACH-000335,5329102,2.59111,MESO
ACH-000938,5329102,1.055879,ALL
ACH-000944,5329102,0.794345,DLBC
ACH-000804,5329102,0.752152,NB
ACH-000294,5329102,0.766206,LAML
ACH-000514,5329102,3.932769,SCLC
ACH-000980,5329102,3.586738,NA
ACH-000327,5329102,5.118935,LUAD
ACH-000830,5329102,5.189254,SCLC
ACH-000766,5329102,2.300535,LUAD
ACH-000559,5329102,3.298665,SCLC
ACH-000733,5329102,4.795639,LUAD
ACH-000586,5329102,2.973486,SCLC
ACH-000729,5329102,3.956388,SCLC
ACH-000587,5329102,1.680109,LUAD
ACH-000394,5329102,4.437825,SCLC
ACH-000290,5329102,2.159963,SCLC
ACH-000639,5329102,2.043947,SCLC
ACH-000525,5329102,3.411138,SCLC
ACH-000399,5329102,3.835477,SCLC
ACH-000900,5329102,3.104087,LUAD
ACH-000800,5329102,3.22001,SCLC
ACH-000871,5329102,2.49836,SCLC
ACH-000816,5329102,3.545889,SCLC
ACH-000767,5329102,3.314154,SCLC
ACH-000358,5329102,3.765041,SCLC
ACH-000491,5329102,3.790681,COAD/READ
ACH-000403,5329102,1.825397,COAD/READ
ACH-000355,5329102,1.997245,SCLC
ACH-000200,5329102,2.935004,LGG
ACH-000168,5329102,1.406611,LAML
ACH-000287,5329102,1.411194,DLBC
ACH-000113,5329102,0.283602,LAML
ACH-000336,5329102,2.106066,LAML
ACH-000065,5329102,-1.347926,LAML
ACH-000124,5329102,0.262034,DLBC
ACH-000751,5329102,1.559596,LAML
ACH-000776,5329102,2.328382,MB
ACH-000024,5329102,1.153294,MM
ACH-000159,5329102,1.726487,KIRC
